H,S,L,IndexHSL,CPC
0.8260869565217392,0.09259259259259256,0.9047619047619047,0.8547711358318759,0.0833
0.8260869565217392,0.07407407407407407,0.9047619047619047,0.8363276993639603,0.0833
0.8260869565217392,0.09259259259259256,0.9047619047619047,0.8473211193607506,0.0833
0.8260869565217392,0.11111111111111105,0.9285714285714286,0.8552483761160241,0.0833
0.8260869565217392,0.12962962962962954,0.9285714285714286,0.8508391826943376,0.0833
0.8260869565217392,0.14814814814814814,0.9285714285714286,0.8480433148349924,0.0833
0.8695652173913038,0.14814814814814814,0.9285714285714286,0.8623774168208191,0.0833
0.8695652173913038,0.16666666666666663,0.9523809523809523,0.8623689700901265,0.0833
0.8695652173913038,0.16666666666666663,0.9285714285714286,0.8669724383177488,0.0833
0.8695652173913038,0.20370370370370372,0.9523809523809523,0.8719897963493226,0.0833
0.8695652173913038,0.16666666666666663,0.9285714285714286,0.86813386378802,0.0833
0.8695652173913038,0.16666666666666663,0.9285714285714286,0.8694473304107637,0.0833
0.8695652173913038,0.14814814814814814,0.9285714285714286,0.8637669040197986,0.0833
0.8260869565217392,0.12962962962962954,0.9285714285714286,0.8601263630911653,0.0833
0.8260869565217392,0.14814814814814814,0.9285714285714286,0.8600672359763148,0.0833
0.8695652173913038,0.18518518518518512,0.9523809523809523,0.8671540430276456,0.0833
0.8260869565217392,0.12962962962962954,0.9285714285714286,0.859383050790191,0.0833
0.8260869565217392,0.14814814814814814,0.9285714285714286,0.8585637179129817,0.0833
0.8260869565217392,0.12962962962962954,0.9285714285714286,0.8600123322268116,0.0833
0.8695652173913038,0.14814814814814814,0.9285714285714286,0.8607471977970924,0.0833
0.8260869565217392,0.07407407407407407,0.9285714285714286,0.8411296657628657,0.0833
0.8260869565217392,0.05555555555555558,0.9047619047619047,0.8341019858263854,0.0833
0.8260869565217392,0.01851851851851849,0.8809523809523809,0.831829815269999,0.0833
0.8260869565217392,0.03703703703703698,0.9047619047619047,0.8591000853119795,0.0833
0.8260869565217392,0.03703703703703698,0.9047619047619047,0.8576556943634959,0.0833
0.8260869565217392,0.03703703703703698,0.9047619047619047,0.8589522675248542,0.0833
0.8260869565217392,0.03703703703703698,0.9047619047619047,0.8559241145714545,0.0833
0.8260869565217392,0.03703703703703698,0.9047619047619047,0.859792717228796,0.0833
0.8695652173913038,0.03703703703703698,0.9047619047619047,0.862098674707954,0.0833
0.8260869565217392,0.03703703703703698,0.9047619047619047,0.8597082499218676,0.0833
0.8695652173913038,0.01851851851851849,0.8809523809523809,0.8608021015465956,0.0833
0.8695652173913038,0.07407407407407407,0.9047619047619047,0.8616974550000416,0.0833
0.8695652173913038,0.07407407407407407,0.9047619047619047,0.8628250935475421,0.0833
0.8695652173913038,0.07407407407407407,0.9047619047619047,0.8676819636959507,0.0833
0.8695652173913038,0.07407407407407407,0.9047619047619047,0.865038136989078,0.0833
0.8695652173913038,0.07407407407407407,0.9047619047619047,0.8635810759445555,0.0833
0.8695652173913038,0.05555555555555558,0.9047619047619047,0.8713013877978524,0.0833
0.8695652173913038,0.07407407407407407,0.9047619047619047,0.8653886763128327,0.0833
0.8695652173913038,0.07407407407407407,0.9047619047619047,0.861097737120847,0.0833
0.8695652173913038,0.03703703703703698,0.9047619047619047,0.863509278733666,0.0833
0.8260869565217392,0.07407407407407407,0.9047619047619047,0.843676355066771,0.0833
0.8260869565217392,0.07407407407407407,0.9047619047619047,0.8480221980082607,0.0833
0.8260869565217392,0.05555555555555558,0.9047619047619047,0.8586566319506028,0.0833
0.8260869565217392,0.05555555555555558,0.9047619047619047,0.8601432565525506,0.0833
0.8695652173913038,0.09259259259259256,0.9047619047619047,0.8671118093741814,0.0833
0.8695652173913038,0.11111111111111105,0.9285714285714286,0.8681845441721778,0.0833
0.8695652173913038,0.09259259259259256,0.9285714285714286,0.8619297400940962,0.0833
0.8695652173913038,0.09259259259259256,0.9285714285714286,0.8625421280693306,0.0833
0.8695652173913038,0.09259259259259256,0.9047619047619047,0.8692065985860165,0.0833
0.8695652173913038,0.09259259259259256,0.9285714285714286,0.8651606145841244,0.0833
0.8695652173913038,0.05555555555555558,0.9047619047619047,0.8604600089535337,0.0833
0.8260869565217392,0.05555555555555558,0.9047619047619047,0.8548893900615759,0.0833
0.8695652173913038,0.03703703703703698,0.8809523809523809,0.8610723969287681,0.0833
0.8260869565217392,0.01851851851851849,0.8809523809523809,0.8386083166510394,0.0833
0.8260869565217392,0.01851851851851849,0.8809523809523809,0.8360616273471351,0.0833
0.8260869565217392,0.01851851851851849,0.8809523809523809,0.8434989737222205,0.0833
0.8260869565217392,0.01851851851851849,0.8809523809523809,0.8369274172431558,0.0833
0.8260869565217392,0.03703703703703698,0.8809523809523809,0.8384689455946068,0.0833
0.8260869565217392,0.05555555555555558,0.8809523809523809,0.8414844284519676,0.0833
0.8260869565217392,0.07407407407407407,0.9047619047619047,0.8514769108616509,0.0833
0.8260869565217392,0.09259259259259256,0.9047619047619047,0.8341780064026212,0.0833
0.8260869565217392,0.09259259259259256,0.9047619047619047,0.8284637930888845,0.0833
0.8260869565217392,0.07407407407407407,0.9047619047619047,0.8315806367145591,0.0833
0.7826086956521738,0.03703703703703698,0.8809523809523809,0.8134835162050527,0.0833
0.8260869565217392,0.07407407407407407,0.9047619047619047,0.8241939707236305,0.0833
0.8260869565217392,0.09259259259259256,0.9047619047619047,0.8235182322682002,0.0833
0.8260869565217392,0.09259259259259256,0.9047619047619047,0.8302207130730048,0.0833
0.8695652173913038,0.05555555555555558,0.9047619047619047,0.8629982515267463,0.0833
0.8260869565217392,0.07407407407407407,0.9047619047619047,0.8556158089011641,0.0833
0.8260869565217392,0.09259259259259256,0.9285714285714286,0.8561986333189733,0.0833
0.8260869565217392,0.09259259259259256,0.9285714285714286,0.8566632035070825,0.0833
0.8260869565217392,0.09259259259259256,0.9285714285714286,0.859383050790191,0.0833
