C,M,Y,K,IndexCMYK,Day,CPC
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,5.708195884733178e-08,2,0.0833
0.0,0.0,0.0,0.0,5.708195884733178e-08,2,0.0833
0.0,0.0,0.017241379310344862,0.030303030303030276,5.822359802427923e-06,2,0.0833
0.0,0.0,0.017241379310344862,0.030303030303030276,5.822359802427923e-06,2,0.0833
0.0,0.0,0.0,0.030303030303030276,5.708195884733178e-08,2,0.0833
0.0,0.0,0.0,0.030303030303030276,5.708195884733178e-08,2,0.0833
0.0,0.0,0.0,0.0,5.708195884733178e-08,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.017241379310344862,0.0,5.765277843580591e-06,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.0,0.0,0.0,2,0.0833
0.0,0.0,0.017241379310344862,0.030303030303030276,5.822359802427923e-06,2,0.0833
0.0,0.0,0.017241379310344862,0.030303030303030276,5.822359802427923e-06,2,0.0833
0.0,0.0,0.017241379310344862,0.030303030303030276,5.822359802427923e-06,2,0.0833
0.0,0.0,0.0,0.030303030303030276,5.708195884733178e-08,2,0.0833
0.0,0.0,0.0,0.030303030303030276,5.708195884733178e-08,2,0.0833
0.0,0.0,0.0,0.030303030303030276,5.708195884733178e-08,2,0.0833
0.0,0.0,0.0,0.030303030303030276,5.708195884733178e-08,2,0.0833
0.0,0.0,0.0,0.030303030303030276,5.708195884733178e-08,2,0.0833
0.0,0.0,0.0,0.030303030303030276,5.708195884733178e-08,2,0.0833
0.0,0.0,0.0,0.030303030303030276,5.708195884733178e-08,2,0.0833
